hsa-miR-193b-3p_MIMAT0002819	n22	2
hsa-miR-197-3p_MIMAT0000227	n22	1
hsa-miR-199b-5p_MIMAT0000263	n23	1
hsa-miR-19a-3p_MIMAT0000073	n23	1
hsa-miR-19b-3p_MIMAT0000074	n23	2
hsa-miR-204-5p_MIMAT0000265	n22	28
hsa-miR-20a-5p_MIMAT0000075	n23	10
hsa-miR-211-5p_MIMAT0000268	n22	3
hsa-miR-21-3p_MIMAT0004494	n21	6
hsa-miR-21-5p_MIMAT0000076	n22	323
hsa-miR-221-3p_MIMAT0000278	n23	16
hsa-miR-221-5p_MIMAT0004568	n22	3
hsa-miR-222-3p_MIMAT0000279	n21	57
hsa-miR-22-3p_MIMAT0000077	n22	107
hsa-miR-23a-3p_MIMAT0000078	n21	3
hsa-miR-23b-3p_MIMAT0000418	n23	3
hsa-miR-24-3p_MIMAT0000080	n22	2
hsa-miR-25-3p_MIMAT0000081	n22	5
hsa-miR-26a-5p_MIMAT0000082	n22	38
hsa-miR-26b-5p_MIMAT0000083	n21	13
hsa-miR-27a-3p_MIMAT0000084	n21	2
hsa-miR-27b-3p_MIMAT0000419	n21	11
hsa-miR-28-3p_MIMAT0004502	n22	11
hsa-miR-28-5p_MIMAT0000085	n22	1
hsa-miR-29a-3p_MIMAT0000086	n22	13
hsa-miR-301a-3p_MIMAT0000688	n23	8
hsa-miR-30a-5p_MIMAT0000087	n22	9
hsa-miR-30b-5p_MIMAT0000420	n22	30
hsa-miR-30c-5p_MIMAT0000244	n23	13
hsa-miR-30d-3p_MIMAT0004551	n22	1
hsa-miR-30d-5p_MIMAT0000245	n22	373
hsa-miR-30e-5p_MIMAT0000692	n22	22
hsa-miR-320a-3p_MIMAT0000510	n22	5
hsa-miR-339-3p_MIMAT0004702	n23	1
hsa-miR-340-5p_MIMAT0004692	n22	2
hsa-miR-345-5p_MIMAT0000772	n22	1
hsa-miR-34a-5p_MIMAT0000255	n22	2
hsa-miR-3605-3p_MIMAT0017982	n23	1
hsa-miR-361-5p_MIMAT0000703	n22	1
hsa-miR-378a-3p_MIMAT0000732	n22	4
hsa-miR-423-3p_MIMAT0001340	n23	10
hsa-miR-423-5p_MIMAT0004748	n23	2
hsa-miR-425-5p_MIMAT0003393	n23	1
hsa-miR-500a-3p_MIMAT0002871	n22	1
hsa-miR-501-3p_MIMAT0004774	n22	1
hsa-miR-505-3p_MIMAT0002876	n22	1
hsa-miR-508-3p_MIMAT0002880	n23	3
hsa-miR-509-3-5p_MIMAT0004975	n22	1
hsa-miR-509-3p_MIMAT0002881	n22	13
hsa-miR-513b-5p_MIMAT0005788	n22	1
hsa-miR-513c-5p_MIMAT0005789	n22	1
hsa-miR-514a-3p_MIMAT0002883	n21	1
hsa-miR-532-5p_MIMAT0002888	n22	4
